num_leaves	learning_rate	feature_fraction	bagging_fraction	max_depth	min_data_in_leaf	nrounds	auc
50	0.001	0.1	0.8	10	1	100	0.7787826894272128
100	0.001	0.1	0.8	10	1	100	0.7787473999564732
300	0.001	0.1	0.8	10	1	100	0.7616377895664096
50	0.006	0.1	0.8	10	1	100	0.7777746935249985
100	0.006	0.1	0.8	10	1	100	0.7784371144698714
300	0.006	0.1	0.8	10	1	100	0.7607435399420117
50	0.011	0.1	0.8	10	1	100	0.7809654064080334
100	0.011	0.1	0.8	10	1	100	0.7719473518412916
300	0.011	0.1	0.8	10	1	100	0.7607531358265811
50	0.016	0.1	0.8	10	1	100	0.783376185133629
100	0.016	0.1	0.8	10	1	100	0.7753393105030248
300	0.016	0.1	0.8	10	1	100	0.7549385059329405
50	0.021	0.1	0.8	10	1	100	0.7783184520788734
100	0.021	0.1	0.8	10	1	100	0.7756485800729126
300	0.021	0.1	0.8	10	1	100	0.7630379284843446
50	0.026000000000000002	0.1	0.8	10	1	100	0.7784552304811094
100	0.026000000000000002	0.1	0.8	10	1	100	0.7773572122824034
300	0.026000000000000002	0.1	0.8	10	1	100	0.7593273878210496
50	0.031	0.1	0.8	10	1	100	0.7776275888262948
100	0.031	0.1	0.8	10	1	100	0.7813930891930633
300	0.031	0.1	0.8	10	1	100	0.7603111537563877
50	0.036000000000000004	0.1	0.8	10	1	100	0.7851379022576334
100	0.036000000000000004	0.1	0.8	10	1	100	0.7708965612199097
300	0.036000000000000004	0.1	0.8	10	1	100	0.7575810885625016
50	0.041	0.1	0.8	10	1	100	0.7768828917982641
100	0.041	0.1	0.8	10	1	100	0.7705377135790397
300	0.041	0.1	0.8	10	1	100	0.760548822994556
50	0.046	0.1	0.8	10	1	100	0.7799524994388475
100	0.046	0.1	0.8	10	1	100	0.7751278783066685
300	0.046	0.1	0.8	10	1	100	0.7622592342297135
50	0.051000000000000004	0.1	0.8	10	1	100	0.7820417056194342
100	0.051000000000000004	0.1	0.8	10	1	100	0.7735946721947383
300	0.051000000000000004	0.1	0.8	10	1	100	0.764296636443523
50	0.056	0.1	0.8	10	1	100	0.7764588385072897
100	0.056	0.1	0.8	10	1	100	0.7765795915941385
300	0.056	0.1	0.8	10	1	100	0.7584859538160728
50	0.061	0.1	0.8	10	1	100	0.779351800487873
100	0.061	0.1	0.8	10	1	100	0.770227742629371
300	0.061	0.1	0.8	10	1	100	0.7517943910448971
50	0.066	0.1	0.8	10	1	100	0.7763923739817941
100	0.066	0.1	0.8	10	1	100	0.7683735435341884
300	0.066	0.1	0.8	10	1	100	0.7539304827243549
50	0.07100000000000001	0.1	0.8	10	1	100	0.7763050721321089
100	0.07100000000000001	0.1	0.8	10	1	100	0.7699378359081704
300	0.07100000000000001	0.1	0.8	10	1	100	0.763734377654758
