nrounds	max_depth	eta	subsample	colsample_bytree	gamma	auc
500	50	0.081	0.8	0.05	0	0.7475065857465152
1000	50	0.081	0.8	0.05	0	0.7279145868315634
300	100	0.081	0.8	0.05	0	0.7600481585698757
500	100	0.081	0.8	0.05	0	0.7517254751384487
1000	100	0.081	0.8	0.05	0	0.7245324072216841
300	50	0.08600000000000001	0.8	0.05	0	0.7578183652066272
500	50	0.08600000000000001	0.8	0.05	0	0.7446650199912508
1000	50	0.08600000000000001	0.8	0.05	0	0.7236718187358041
300	100	0.08600000000000001	0.8	0.05	0	0.7622039279512646
500	100	0.08600000000000001	0.8	0.05	0	0.7494503122379312
1000	100	0.08600000000000001	0.8	0.05	0	0.725643244523658
300	50	0.091	0.8	0.05	0	0.7560814282903421
500	50	0.091	0.8	0.05	0	0.7440699626919132
1000	50	0.091	0.8	0.05	0	0.7243480636281494
300	100	0.091	0.8	0.05	0	0.7568493674053782
500	100	0.091	0.8	0.05	0	0.7468742776692093
1000	100	0.091	0.8	0.05	0	0.7224062474330394
300	50	0.096	0.8	0.05	0	0.7499020973143145
500	50	0.096	0.8	0.05	0	0.746388107259317
1000	50	0.096	0.8	0.05	0	0.7192714511947949
300	100	0.096	0.8	0.05	0	0.7613887090026534
500	100	0.096	0.8	0.05	0	0.7429075473896756
1000	100	0.096	0.8	0.05	0	0.7165502341068123
