tipo_persona	proxy_edad_actual	prop_con_garantia_actual	n_meses_seg_bcra	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica	proxy_edad_actual_sqrt	prop_con_garantia_actual_sqrt	n_meses_seg_bcra_sqrt	media_prop_situacion_1_sqrt	media_prop_situacion_2_sqrt	media_prop_default_sqrt	media_prop_con_garantia_sqrt	prop_tuvo_garantia_sqrt	prop_mora_30_dias_seg_sqrt	prop_default_seg_sqrt	proxy_edad_actual_pot	prop_con_garantia_actual_pot	n_meses_seg_bcra_pot	media_prop_situacion_1_pot	media_prop_situacion_2_pot	media_prop_default_pot	media_prop_con_garantia_pot	prop_tuvo_garantia_pot	prop_mora_30_dias_seg_pot	prop_default_seg_pot
27	232	0	7	1	1	1	0	0	0	0	0	0	0	0	0	15.231546211727817	0	2.6457513110645907	1	0	0	0	0	0	0	53824	0	49	1	0	0	0	0	0	0
20	85	0	6	1	1	1	0	0	0	0	0	0	0	0	0	9.219544457292887	0	2.449489742783178	1	0	0	0	0	0	0	7225	0	36	1	0	0	0	0	0	0
Global	362	0	6	1	1	1	0	0	0	0	0	0	0	0	0	19.026297590440446	0	2.449489742783178	1	0	0	0	0	0	0	131044	0	36	1	0	0	0	0	0	0
20	406	0	7	3	3	0.5630163266386177	0.3078304736199473	0.12915319974143502	0	0	0.8571428571428571	0.2857142857142857	0	1	0	20.149441679609886	0	2.6457513110645907	0.7503441388047338	0.5548247233315647	0.3593789083146575	0	0	0.9258200997725514	0.5345224838248488	164836	0	49	0.3169873840616426	0.09475960048908108	0.01668054900345101	0	0	0.7346938775510203	0.08163265306122448
27	346	0	7	1	1	1	0	0	0	0	0	0	0	0	0	18.601075237738275	0	2.6457513110645907	1	0	0	0	0	0	0	119716	0	49	1	0	0	0	0	0	0
27	209	0	6	1	1	1	0	0	0	0	0	0	0	0	0	14.45683229480096	0	2.449489742783178	1	0	0	0	0	0	0	43681	0	36	1	0	0	0	0	0	0
20	404	0	7	1	1	1	0	0	0	0	0	0	0	0	0	20.09975124224178	0	2.6457513110645907	1	0	0	0	0	0	0	163216	0	49	1	0	0	0	0	0	0
27	273	0	6	1	1	1	0	0	0	0	0	0	0	0	0	16.522711641858304	0	2.449489742783178	1	0	0	0	0	0	0	74529	0	36	1	0	0	0	0	0	0
20	108	0	7	1	1	1	0	0	0	0	0	0	0	0	0	10.392304845413264	0	2.6457513110645907	1	0	0	0	0	0	0	11664	0	49	1	0	0	0	0	0	0
20	305	0	7	3	3	0.8541552344369245	0.09389671361502348	0.05194805194805195	0	0	0.42857142857142855	0.14285714285714285	1	1	0	17.46424919657298	0	2.6457513110645907	0.9242051906567743	0.3064257065179478	0.2279211529192759	0	0	0.6546536707079771	0.3779644730092272	93025	0	49	0.7295811645159975	0.008816592827701737	0.002698600101197504	0	0	0.18367346938775508	0.02040816326530612
20	167	0	7	1	1	1	0	0	0	0	0	0	0	0	0	12.922847983320086	0	2.6457513110645907	1	0	0	0	0	0	0	27889	0	49	1	0	0	0	0	0	0
27	36	0	7	1	1	1	0	0	0	0	0	0	0	0	0	6	0	2.6457513110645907	1	0	0	0	0	0	0	1296	0	49	1	0	0	0	0	0	0
Global	299	0	7	1	1	1	0	0	0	0	0	0	0	0	0	17.291616465790582	0	2.6457513110645907	1	0	0	0	0	0	0	89401	0	49	1	0	0	0	0	0	0
20	219	0	7	1	1	1	0	0	0	0	0	0	0	0	0	14.798648586948742	0	2.6457513110645907	1	0	0	0	0	0	0	47961	0	49	1	0	0	0	0	0	0
27	171	0	7	1	1	1	0	0	0	0	0	0	0	0	0	13.076696830622021	0	2.6457513110645907	1	0	0	0	0	0	0	29241	0	49	1	0	0	0	0	0	0
Global	224	0	6	1	1	1	0	0	0	0	0	0	0	0	0	14.966629547095765	0	2.449489742783178	1	0	0	0	0	0	0	50176	0	36	1	0	0	0	0	0	0
20	326	0	7	1	1	1	0	0	0	0	0	0	0	0	0	18.05547008526779	0	2.6457513110645907	1	0	0	0	0	0	0	106276	0	49	1	0	0	0	0	0	0
20	322	0	7	1	1	1	0	0	0	0	0	0	0	0	0	17.944358444926362	0	2.6457513110645907	1	0	0	0	0	0	0	103684	0	49	1	0	0	0	0	0	0
